Genes	description
Gnao1	guanine nucleotide binding protein, alpha O
Xpo6	exportin 6
Eef1d	eukaryotic translation elongation factor 1 delta
Pcdhb16	protocadherin beta 16
Klhl13	kelch-like 13
Amigo2	adhesion molecule with Ig like domain 2
Gm24510	NA
Gm13757	NA
Mybl1	myeloblastosis oncogene-like 1
Gpr139	G protein-coupled receptor 139
Gm20421	NA
Gnptg	N-acetylglucosamine-1-phosphotransferase, gamma subunit
Gm10499	predicted gene 10499
Gm13741	NA
Gm23670	NA
Acot3	acyl-CoA thioesterase 3
Dhrs11	dehydrogenase/reductase 11
Gm12267	ribosomal protein S4, X-linked pseudogene
Fastkd3	FAST kinase domains 3
Stat1	signal transducer and activator of transcription 1
Egfl7	EGF-like domain 7
Nkd1	naked cuticle 1
Atp10d	ATPase, class V, type 10D
Ankzf1	ankyrin repeat and zinc finger domain containing 1
Mir465c-2	microRNA 465c-2
Cnnm3	cyclin M3
Gm15057	predicted gene 15057
Ttc18	NA
mmu-mir-8101	NA
Gm25011	NA
1700003F12Rik	RIKEN cDNA 1700003F12 gene
Med19	mediator complex subunit 19
Pgam1-ps2	phosphoglycerate mutase 1, pseudogene 2
Gm13815	predicted gene 13815
Ccdc136	coiled-coil domain containing 136
Abr	active BCR-related gene
Gm24122	predicted gene, 24122
Rabl2	RAB, member RAS oncogene family-like 2
Gm17106	NA
Amer1	APC membrane recruitment 1
Gm8318	glyceraldehyde-3-phosphate dehydrogenase pseudogene
Eftud1	NA
Dpf3	double PHD fingers 3
Zfp616	zinc finger protein 616
mmu-mir-7050	NA
Eno4	enolase 4
Rnf170	ring finger protein 170
Trav13n-3	T cell receptor alpha variable 13N-3
Gm22305	predicted gene, 22305
Gm8839	ATP-binding cassette, sub-family F (GCN20), member 1 pseudogene
Acoxl	acyl-Coenzyme A oxidase-like
Gm16531	UL16 binding protein 1 pseudogene
Rxfp2	relaxin/insulin-like family peptide receptor 2
Gm22283	predicted gene, 22283
Zfp119a	zinc finger protein 119a
Igfbpl1	insulin-like growth factor binding protein-like 1
Phox2b	paired-like homeobox 2b
Nanos2	nanos C2HC-type zinc finger 2
Gm8705	SET pseudogene
2510039O18Rik	RIKEN cDNA 2510039O18 gene
Gm12615	ubiquitin-60S ribosomal protein L40 pseudogene
Gm26420	predicted gene, 26420
Hspbp1	HSPA (heat shock 70kDa) binding protein, cytoplasmic cochaperone 1
Mmp11	matrix metallopeptidase 11
Vmn1r-ps112	vomeronasal 1 receptor, pseudogene 112
Mxra8	matrix-remodelling associated 8
B230112J18Rik	RIKEN cDNA B230112J18 gene
RP24-282D16.6	NA
Mir214	microRNA 214
Snap25	synaptosomal-associated protein 25
1600015I10Rik	NA
Gm21708	NA
Gm25204	predicted gene, 25204
Gm25708	NA
Slc12a9	solute carrier family 12 (potassium/chloride transporters), member 9
Gm13310	karyopherin (importin) alpha 2 pseudogene
Gm23908	predicted gene, 23908
Gyg	NA
Igkv3-10	immunoglobulin kappa variable 3-10
Cyp24a1	cytochrome P450, family 24, subfamily a, polypeptide 1
Gm15347	NA
Tgm3	transglutaminase 3, E polypeptide
Defa25	defensin, alpha, 25
Slc4a4	solute carrier family 4 (anion exchanger), member 4
Zfp942	zinc finger protein 942
Pdzd11	PDZ domain containing 11
Tnfsf15	tumor necrosis factor (ligand) superfamily, member 15
Rbpms2	RNA binding protein with multiple splicing 2
Uts2b	urotensin 2B
Hspb2	heat shock protein 2
Rpl15-ps1	ribosomal protein L15, pseudogene 1
Adprh	ADP-ribosylarginine hydrolase
Htr4	5 hydroxytryptamine (serotonin) receptor 4
Gm22346	NA
CAAA01064564.1	NA
Gm13438	NA
Gm20711	NA
Gm13388	predicted gene 13388
Gas2l3	growth arrest-specific 2 like 3
Pgm5	phosphoglucomutase 5
Zfp493	zinc finger protein 493
Slc17a1	solute carrier family 17 (sodium phosphate), member 1
Gm21634	predicted gene, 21634
Mir122a	NA
H2-Ab1	histocompatibility 2, class II antigen A, beta 1
Pkhd1	polycystic kidney and hepatic disease 1
Mcm4	minichromosome maintenance complex component 4
Taar8b	trace amine-associated receptor 8B
Sox15	SRY (sex determining region Y)-box 15
A430108G06Rik	RIKEN cDNA A430108G06 gene
Gm22684	predicted gene, 22684
Gm13448	NA
Ighv11-2	immunoglobulin heavy variable V11-2
Spaca5	sperm acrosome associated 5
Cecr2	CECR2, histone acetyl-lysine reader
Gm21756	predicted gene, 21756
Ankrd2	ankyrin repeat domain 2
Ppt1	palmitoyl-protein thioesterase 1
Cdc20	cell division cycle 20
Ctdsp1	CTD small phosphatase 1
Spryd4	SPRY domain containing 4
4930405A21Rik	RIKEN cDNA 4930405A21 gene
Gm8814	ferritin light chain 2 pseudogene
Ugcg	UDP-glucose ceramide glucosyltransferase
Runx3	runt related transcription factor 3
Cacna1e	calcium channel, voltage-dependent, R type, alpha 1E subunit
Spint1	serine protease inhibitor, Kunitz type 1
Hs3st3b1	heparan sulfate (glucosamine) 3-O-sulfotransferase 3B1
Hrh3	histamine receptor H3
Gm7945	predicted gene 7945
Gm25117	predicted gene, 25117
Ttll2	tubulin tyrosine ligase-like family, member 2
Klf3	Kruppel-like transcription factor 3 (basic)
Gm22599	predicted gene, 22599
Acsbg1	acyl-CoA synthetase bubblegum family member 1
Gm2020	zinc finger protein 937 pseudogene
Olfr61	NA
Mfsd2b	MFSD2 lysolipid transporter B, sphingolipid
Dnah6	dynein, axonemal, heavy chain 6
Cyp2c53-ps	cytochrome P450, family 2, subfamily c, polypeptide 53, pseudogene
Gm7676	interferon induced transmembrane protein 1 pseudogene
Gm22287	predicted gene, 22287
Sec22c	SEC22 homolog C, vesicle trafficking protein
Gm26899	NA
1100001G20Rik	NA
Gm24419	NA
Gm10543	predicted gene 10543
Vmn1r199	vomeronasal 1 receptor 199
Gm13886	TAR DNA binding protein pseudogene
Gm12309	NA
Vax2os	ventral anterior homeobox 2, opposite strand
Adam8	a disintegrin and metallopeptidase domain 8
Gm11731	NA
Olfr769	NA
Gm5400	predicted gene 5400
Kank3	KN motif and ankyrin repeat domains 3
Gm22659	predicted gene, 22659
Gm12363	tubulin, beta 6 pseudogene
Dcakd	dephospho-CoA kinase domain containing
1700064H15Rik	RIKEN cDNA 1700064H15 gene
Kifc2	kinesin family member C2
Nipal1	NIPA-like domain containing 1
Vmn1r223	vomeronasal 1 receptor 223
Gm7271	NA
Pcdhb17	protocadherin beta 17
D3Ertd751e	DNA segment, Chr 3, ERATO Doi 751, expressed
Atg3	autophagy related 3
Trpc6	transient receptor potential cation channel, subfamily C, member 6
Surf2	surfeit gene 2
RP24-390G17.1	NA
Vmn2r62	vomeronasal 2, receptor 62
Islr	immunoglobulin superfamily containing leucine-rich repeat
RP23-279M5.2	NA
Csf1	colony stimulating factor 1 (macrophage)
Gm22565	NA
Gm23143	predicted gene, 23143
Ace	angiotensin I converting enzyme
Cdc16	CDC16 cell division cycle 16
KCTD12	NA
Cttn	cortactin
Gnl3l	guanine nucleotide binding protein nucleolar 3 like
Abcd4	ATP-binding cassette, sub-family D member 4
Prss41	serine protease 41
AC132444.2	NA
Gm9372	predicted gene 9372
Snapin	SNAP-associated protein
Kcng4	potassium voltage-gated channel, subfamily G, member 4
mmu-mir-6347	NA
Gm13599	predicted gene 13599
Gm13921	60S ribosomal protein L29 pseudogene
Pgam1	phosphoglycerate mutase 1
Myo1b	myosin IB
Gm25815	predicted gene, 25815
Gm25621	NA
Rspo2	R-spondin 2
Gm25857	predicted gene, 25857
Amh	anti-Mullerian hormone
Gm12247	predicted gene 12247
Mslnl	mesothelin-like
Trmt11	tRNA methyltransferase 11
Gm6498	glyceraldehyde-3-phosphate dehydrogenase pseudogene
Gm21119	NA
Gm13218	NA
Sfxn4	sideroflexin 4
Acaa1b	acetyl-Coenzyme A acyltransferase 1B
Gm23178	NA
Trav3n-3	T cell receptor alpha variable 3N-3
Olfr1232	NA
Panx1	pannexin 1
Hist1h2bh	NA
Rbp3	retinol binding protein 3, interstitial
Vmn1r-ps53	vomeronasal 1 receptor, pseudogene 53
1700055C04Rik	RIKEN cDNA 1700055C04 gene
Gm26875	NA
Nol7	nucleolar protein 7
Atp6v1e2	ATPase, H+ transporting, lysosomal V1 subunit E2
Gm26979	NA
Gm23780	NA
Ccdc88b	coiled-coil domain containing 88B
Cypt12	cysteine-rich perinuclear theca 12
Gm11759	ubiquitin-40S ribosomal protein S27a pseudogene
Mocs3	molybdenum cofactor synthesis 3
Ppp1r12c	protein phosphatase 1, regulatory subunit 12C
Rgs7bp	regulator of G-protein signalling 7 binding protein
Phyhip	phytanoyl-CoA hydroxylase interacting protein
mmu-mir-7034	NA
Trim32	tripartite motif-containing 32
Slc27a5	solute carrier family 27 (fatty acid transporter), member 5
Ankrd39	ankyrin repeat domain 39
Gm12155	NA
Enpp5	ectonucleotide pyrophosphatase/phosphodiesterase 5
Klrk1	killer cell lectin-like receptor subfamily K, member 1
Tmco3	transmembrane and coiled-coil domains 3
Gm22558	NA
Gm24116	predicted gene, 24116
1700056N10Rik	RIKEN cDNA 1700056N10 gene
Gm17039	predicted gene 17039
Kdm5d	lysine demethylase 5D
RP23-45G16.5	NA
Rtn4rl1	reticulon 4 receptor-like 1
Foxk2	forkhead box K2
Eml5	echinoderm microtubule associated protein like 5
Gm12302	NA
Gm13198	solute carrier family 25 (mitochondrial carrier, adenine nucleotide translocator), member 5
Cyb5r2	cytochrome b5 reductase 2
Gm23804	predicted gene, 23804
Gm8822	NA
Gm15904	predicted gene 15904
Gm26110	predicted gene, 26110
Ccs	copper chaperone for superoxide dismutase
1700113A16Rik	RIKEN cDNA 1700113A16 gene
Pth1r	parathyroid hormone 1 receptor
Gm24973	NA
Olfr25	NA
Rps26	ribosomal protein S26
Zfp385a	zinc finger protein 385A
RP24-364K9.2	NA
Abhd17c	abhydrolase domain containing 17C
Gm21774	predicted gene, 21774
Gm7132	glyceraldehyde-3-phosphate dehydrogenase pseudogene
Txndc2	thioredoxin domain containing 2 (spermatozoa)
Gm3111	predicted gene 3111
Shisa4	shisa family member 4
Gm26883	NA
Gm11966	NA
Rgs22	regulator of G-protein signalling 22
Ift140	intraflagellar transport 140
Gm22717	predicted gene, 22717
Gm25440	NA
Ttc9	tetratricopeptide repeat domain 9
Gm14231	ribosomal protein L9 pseudogene
Csnka2ip	casein kinase 2, alpha prime interacting protein
Mir5117	NA
Gm22569	NA
Lhx3	LIM homeobox protein 3
Gm15791	NA
Gm16203	NA
Peo1	NA
Gm2000	NA
Nup54	nucleoporin 54
Gm6288	predicted gene 6288
1190003K10Rik	NA
Mir30d	microRNA 30d
Nup107	nucleoporin 107
Cldn17	claudin 17
Gm13973	NA
Tmem140	transmembrane protein 140
Pard3	par-3 family cell polarity regulator
Gm25965	predicted gene, 25965
Gm8114	predicted gene 8114
Gm24454	predicted gene, 24454
Vmn2r-ps12	vomeronasal 2, receptor, pseudogene 12
Ergic1	endoplasmic reticulum-golgi intermediate compartment 1
B230319C09Rik	RIKEN cDNA B230319C09 gene
Mpc1-ps	mitochondrial pyruvate carrier 1, pseudogene
Fam210a	family with sequence similarity 210, member A
B230216G23Rik	NA
Trav5d-4	T cell receptor alpha variable 5D-4
Tyms	thymidylate synthase
Olfr516	NA
Vgll1	vestigial like family member 1
Lrrc10b	leucine rich repeat containing 10B
Gm16189	predicted gene 16189
Camk2b	calcium/calmodulin-dependent protein kinase II, beta
Gm11646	NA
Olfr1196	NA
Pacs1	phosphofurin acidic cluster sorting protein 1
Gm9742	polo-like kinase 4 pseudogene
C87499	NA
Twist1	twist basic helix-loop-helix transcription factor 1
Cyp4f41-ps	cytochrome P450, family 4, subfamily f, polypeptide 41 pseudogene
Gm25005	predicted gene, 25005
4921501E09Rik	NA
Tmem17	transmembrane protein 17
Zfp235	zinc finger protein 235
Gm22576	predicted gene, 22576
Gm14381	NA
Gm13889	predicted gene 13889
Pcdhb13	protocadherin beta 13
Gm12844	ras homolog gene family, member A pseudogene
Traj54	T cell receptor alpha joining 54
Mrgpra4	MAS-related GPR, member A4
Gpsm3	G-protein signalling modulator 3 (AGS3-like, C. elegans)
AY512915	cDNA sequence AY512915
Zfp422-rs1	NA
AC129590.1	NA
Adamts15	ADAM metallopeptidase with thrombospondin type 1 motif 15
mmu-mir-6974	NA
Gm24388	predicted gene, 24388
D230022J07Rik	RIKEN cDNA D230022J07 gene
Rpl23a-ps13	ribosomal protein L23A, pseudogene 13
5730412P04Rik	RIKEN cDNA 5730412P04 gene
Olfr1282	NA
Ebna1bp2	EBNA1 binding protein 2
4930533K18Rik	RIKEN cDNA 4930533K18 gene
Timp3	tissue inhibitor of metalloproteinase 3
Mrpl1	mitochondrial ribosomal protein L1
Gm22903	NA
Psg22	pregnancy-specific beta-1-glycoprotein 22
Gm10668	predicted gene 10668
Gm13777	predicted gene 13777
Pou6f2	POU domain, class 6, transcription factor 2
Ptprs	protein tyrosine phosphatase receptor type S
Gm24791	predicted gene, 24791
Faf2	Fas associated factor family member 2
H2-T23	histocompatibility 2, T region locus 23
Plekha5	pleckstrin homology domain containing, family A member 5
Gm15233	NA
Otx1	orthodenticle homeobox 1
Gm22197	NA
Olfr818	NA
Gm24391	NA
Olfr12	NA
Trav5-1	T cell receptor alpha variable 5-1
Tmem217	transmembrane protein 217
4930444G20Rik	NA
Asb3	ankyrin repeat and SOCS box-containing 3
Sgtb	small glutamine-rich tetratricopeptide repeat (TPR)-containing, beta
Tpm3-rs2	tropomyosin 3, related sequence 2
Gm24905	predicted gene, 24905
Gm22817	NA
Gm15230	predicted gene 15230
Gm12396	NA
Nkain2	Na+/K+ transporting ATPase interacting 2
Gm20767	NA
Vmn1r19	vomeronasal 1 receptor 19
Klhl12	kelch-like 12
AF067063	NA
Olfr424	NA
Gm23445	predicted gene, 23445
1700019G24Rik	RIKEN cDNA 1700019G24 gene
RP23-103I12.13	NA
Gm12316	NA
Gm26237	NA
Taar8c	trace amine-associated receptor 8C
Vmn1r176	vomeronasal 1 receptor 176
Gm23263	NA
Gm14032	cathepsin B pseudogene
2010002M12Rik	NA
Myo9a	myosin IXa
Vmn2r52	vomeronasal 2, receptor 52
Slc26a2	solute carrier family 26 (sulfate transporter), member 2
Shh	sonic hedgehog
Gm23512	predicted gene, 23512
Olfr695	NA
Timm17a	translocase of inner mitochondrial membrane 17a
Cux1	cut-like homeobox 1
Gm23171	NA
Gm24590	NA
Olfr1082	NA
Gdpd2	glycerophosphodiester phosphodiesterase domain containing 2
Ptpra	protein tyrosine phosphatase receptor type A
Gm24362	NA
Pdgfc	platelet-derived growth factor, C polypeptide
Ankra2	ankyrin repeat family A member 2
4930415O20Rik	NA
Faxc	failed axon connections homolog
Erp44	endoplasmic reticulum protein 44
Snx19	sorting nexin 19
Olfr522	NA
Gm5900	MAPK scaffold protein 1 pseudogene
Gm11859	NA
Figla	folliculogenesis specific basic helix-loop-helix
Taf11	TATA-box binding protein associated factor 11
Plxna4	plexin A4
4833423E24Rik	NA
Phyhipl	phytanoyl-CoA hydroxylase interacting protein-like
mmu-mir-6988	NA
Gm15759	predicted gene 15759
Tmlhe	trimethyllysine hydroxylase, epsilon
Smek1	NA
Gm1587	predicted gene 1587
Gm22500	predicted gene, 22500
Gm7393	predicted gene 7393
Il5ra	interleukin 5 receptor, alpha
Nckipsd	NCK interacting protein with SH3 domain
Ptges3	prostaglandin E synthase 3
Gm12321	RNA binding motif protein 7 pseudogene
CR524822.1	NA
Gm15818	NA
Gm26442	predicted gene, 26442
Rerg	RAS-like, estrogen-regulated, growth-inhibitor
Rnf41	ring finger protein 41
Gm6429	predicted gene 6429
Nxnl2	nucleoredoxin-like 2
Metazoa_SRP	NA
Gm21268	predicted gene, 21268
Sybu	syntabulin (syntaxin-interacting)
Slc39a6	solute carrier family 39 (metal ion transporter), member 6
RP24-175I14.9	NA
Gm10807	NA
Olfr701	NA
Tmc4	transmembrane channel-like gene family 4
Gm26605	NA
Gm21983	NA
Gm15578	ribosomal protein L21 pseudogene
Wdr35	WD repeat domain 35
Tnks2	tankyrase, TRF1-interacting ankyrin-related ADP-ribose polymerase 2
Gm25101	predicted gene, 25101
Gm14796	NA
mmu-mir-6901	NA
Krtap4-7	keratin associated protein 4-7
Slfnl1	schlafen like 1
Rps19-ps12	ribosomal protein S19, pseudogene 12
Gm815	predicted gene 815
RP24-68F22.7	NA
Prrx2	paired related homeobox 2
Mki67	antigen identified by monoclonal antibody Ki 67
Ighv1-12	immunoglobulin heavy variable V1-12
Gm25286	NA
Gm26611	predicted gene, 26611
Pou5f1	POU domain, class 5, transcription factor 1
Atxn3	ataxin 3
Gm20889	predicted gene, 20889
Serpinb3a	serine (or cysteine) peptidase inhibitor, clade B (ovalbumin), member 3A
Ctla2b	cytotoxic T lymphocyte-associated protein 2 beta
Gm21720	predicted gene, 21720
Ccnb1ip1	cyclin B1 interacting protein 1
Gm26349	predicted gene, 26349
Gm12367	predicted gene 12367
Olfr1461	NA
Nupl2	NA
Il17rd	interleukin 17 receptor D
AY761184	NA
Tceal3	transcription elongation factor A (SII)-like 3
Sgms2	sphingomyelin synthase 2
Ighv1-66	immunoglobulin heavy variable 1-66
Slc38a8	solute carrier family 38, member 8
Gm23354	predicted gene, 23354
Ndufb9	NADH:ubiquinone oxidoreductase subunit B9
Vmn2r87	vomeronasal 2, receptor 87
Gm11929	glyceraldehyde-3-phosphate dehydrogenase pseudogene
Mir344c	microRNA 344c
Lrrc3b	leucine rich repeat containing 3B
Gm22881	predicted gene, 22881
Trav8-2	T-cell receptor alpha variable 8-2
Olfr1375-ps1	NA
Gm14815	dCMP deaminase pseudogene
Uri1	URI1, prefoldin-like chaperone
Siva1	SIVA1, apoptosis-inducing factor
Rnh1	ribonuclease/angiogenin inhibitor 1
Pcdh8	protocadherin 8
Gm24579	predicted gene, 24579
2410089E03Rik	NA
Gon4l	gon-4 like
Klf6	Kruppel-like transcription factor 6
Gm26295	predicted gene, 26295
AC126035.1	NA
Tcp11	t-complex protein 11
4930505G20Rik	RIKEN cDNA 4930505G20 gene
Echdc1	enoyl Coenzyme A hydratase domain containing 1
Nsfl1c	NSFL1 (p97) cofactor (p47)
Gm4982	TD and POZ domain containing 3 pseudogene
Gm17469	predicted gene, 17469
Gm22944	predicted gene, 22944
Ceacam12	CEA cell adhesion molecule 12
Gm14127	methyltransferase-like protein 23
Gm26361	predicted gene, 26361
Gm11222	ribosomal protein L7-like 1 pseudogene
Pou2f3	POU domain, class 2, transcription factor 3
Gm5544	predicted gene 5544
Gm2930	predicted gene 2930
Fam198a	NA
Hiatl1	NA
Gm17366	putative overexpressed in colon carcinoma 1 protein homolog
Olfr141	NA
Htr1d	5-hydroxytryptamine (serotonin) receptor 1D
Insl5	insulin-like 5
Gm10352	NA
Olfr926	NA
Tcl1b4	T cell leukemia/lymphoma 1B, 4
Vmn2r16	vomeronasal 2, receptor 16
Igkv3-5	immunoglobulin kappa chain variable 3-5
Gm12621	ubiquitin-60S ribosomal protein L40 pseudogene
Gm17518	predicted gene, 17518
Hist1h2ab	NA
4930432M17Rik	RIKEN cDNA 4930432M17 gene
4933416E14Rik	ferritin light chain pseudogene
Gphn	gephyrin
H2-M11	histocompatibility 2, M region locus 11
Gm13222	NA
Gm20547	NA
Gm26509	predicted gene, 26509
Slc39a4	solute carrier family 39 (zinc transporter), member 4
Rgs3	regulator of G-protein signaling 3
Gm25948	NA
Sra1	steroid receptor RNA activator 1
Tug1	taurine upregulated gene 1
Vgf	VGF nerve growth factor inducible
Gm6586	predicted gene 6586
Gm14944	NA
TUG1_4	NA
Fhl2	four and a half LIM domains 2
Gm24665	predicted gene, 24665
Synpo	synaptopodin
Rbm12b1	RNA binding motif protein 12 B1
Gm22497	predicted gene, 22497
Gm15937	heat shock protein 90, alpha (cytosolic), class A member 1 pseudogene
Zfp407	zinc finger protein 407
Chrng	cholinergic receptor, nicotinic, gamma polypeptide
Pigk	phosphatidylinositol glycan anchor biosynthesis, class K
Olfr636-ps1	NA
Gm15047	glycine cleavage system protein H (aminomethyl carrier) pseudogene
6430531B16Rik	NA
Gm26703	predicted gene, 26703
Wdfy2	WD repeat and FYVE domain containing 2
Speer4e	NA
Gm20877	predicted gene, 20877
Hax1	HCLS1 associated X-1
Smad7	SMAD family member 7
Olfr1425	NA
Olfr1130	NA
Gm22355	NA
Gm12992	predicted gene 12992
Gm14269	predicted gene 14269
Mgat3	mannoside acetylglucosaminyltransferase 3
Ckap2	cytoskeleton associated protein 2
Syt5	synaptotagmin V
Arl14epl	ADP-ribosylation factor-like 14 effector protein-like
Pds5a	PDS5 cohesin associated factor A
Rps6-ps2	ribosomal protein S6, pseudogene 2
Clec1a	C-type lectin domain family 1, member a
Igf1	insulin-like growth factor 1
Btbd17	BTB domain containing 17
Rpl28-ps3	ribosomal protein L28, pseudogene 3
Gm16083	predicted gene 16083
Gm12024	serine/arginine repetitive matrix 1 pseudogene
Gm23649	predicted gene, 23649
Fbxo9	f-box protein 9
Ceacam10	CEA cell adhesion molecule 10
Gm22090	predicted gene, 22090
Wdr47	WD repeat domain 47
D830030K20Rik	RIKEN cDNA D830030K20 gene
Rcan3	regulator of calcineurin 3
Tmem192	transmembrane protein 192
Gm4596	ubiquitin-conjugating enzyme E2D 3 (UBC4/5 homolog, yeast) pseudogene
Csnk1e	casein kinase 1, epsilon
Gm15849	NA
Safb2	scaffold attachment factor B2
Gm20847	predicted gene, 20847
Rmst	rhabdomyosarcoma 2 associated transcript (non-coding RNA)
Rnf121	ring finger protein 121
Gm22965	predicted gene, 22965
Ccdc122	coiled-coil domain containing 122
8030453O22Rik	RIKEN cDNA 8030453O22 gene
Trim10	tripartite motif-containing 10
C1qtnf7	C1q and tumor necrosis factor related protein 7
Mir23b	microRNA 23b
Gm10037	NA
Wisp1	NA
Gm13854	heat shock protein 8 pseudogene
Rps11-ps2	ribosomal protein S11, pseudogene 2
Gm11707	NA
Rpsa-ps5	ribosomal protein SA, pseudogene 5
Gm13905	NA
Gm13298	NA
Zfp773	zinc finger protein 773
A530072M11Rik	RIKEN cDNA gene A530072M11
Tnpo3	transportin 3
Fitm2	fat storage-inducing transmembrane protein 2
7-Sep	NA
Gm15623	NA
Gm14764	NA
Snord66	small nucleolar RNA, C/D box 66
Mmp1b	matrix metallopeptidase 1b (interstitial collagenase)
Krtap9-1	keratin associated protein 9-1
Spopl	speckle-type BTB/POZ protein-like
